Godot Engine v4.5.2.stable.official.6ce3de25a - https://godotengine.org

GLB_SIDE_IMPORT_OK id=meridian-exchange inward_sky_triangles=2976 cull=BACK meshes=104
GLB_SIDE_IMPORT_OK id=verdant-reliquary inward_sky_triangles=2976 cull=BACK meshes=141
GLB_SIDE_IMPORT_OK id=ember-crucible inward_sky_triangles=2976 cull=BACK meshes=99
GLB_SIDE_IMPORT_OK id=tidal-citadel inward_sky_triangles=2976 cull=BACK meshes=131
GLB_SIDE_IMPORT_OK id=sunscar-convoy inward_sky_triangles=2976 cull=BACK meshes=108
GLB_SIDE_IMPORT_OK id=asterion-relay inward_sky_triangles=2976 cull=BACK meshes=87
GLB_SIDE_IMPORT_OK id=monsoon-foundry inward_sky_triangles=2976 cull=BACK meshes=158
GLB_SIDE_IMPORT_OK id=ion-speedway inward_sky_triangles=2976 cull=BACK meshes=172
GLB_SIDE_IMPORT_OK id=aurora-stadium inward_sky_triangles=2976 cull=BACK meshes=118
